clientRegion,createdTimeUTC,totalTickets,completedTickets
AMER,2016/12,3,2
AMER,2017/01,5,5
AMER,2017/03,1,1
AMER,2017/04,2,1
AMER,2017/05,2,2
AMER,2017/06,4,4
AMER,2017/07,5,5
AMER,2017/08,15,14
AMER,2017/09,25,18
AMER,2017/10,38,35
AMER,2017/11,95,79
AMER,2017/12,284,249
AMER,2018/01,1498,1270
AMER,2018/02,1350,1170
AMER,2018/03,1594,1413
AMER,2018/04,1668,1487
AMER,2018/05,1656,1457
AMER,2018/06,1504,1348
AMER,2018/07,1435,1294
AMER,2018/08,1135,1017
AMRS,2016/08,1,
AMRS,2017/01,1,1
AMRS,2017/04,1,1
AMRS,2017/05,1,1
AMRS,2017/06,5,5
AMRS,2017/07,3,3
AMRS,2017/08,12,10
AMRS,2017/09,30,25
AMRS,2017/10,54,52
AMRS,2017/11,133,124
AMRS,2017/12,354,302
AMRS,2018/01,1582,1258
AMRS,2018/02,1208,1007
AMRS,2018/03,1894,1234
AMRS,2018/04,1927,1267
AMRS,2018/05,1375,1166
AMRS,2018/06,1427,1241
AMRS,2018/07,1371,1138
AMRS,2018/08,1107,919
APAC,2017/04,1,1
APAC,2017/05,1,1
APAC,2017/06,2,2
APAC,2017/07,1,1
APAC,2017/08,4,4
APAC,2017/09,6,5
APAC,2017/10,8,7
APAC,2017/11,33,27
APAC,2017/12,78,71
APAC,2018/01,402,370
APAC,2018/02,1206,982
APAC,2018/03,1520,1206
APAC,2018/04,1580,1310
APAC,2018/05,1616,1301
APAC,2018/06,1535,1236
APAC,2018/07,1531,1249
APAC,2018/08,1341,1127
ASIA,2016/10,1,
ASIA,2017/05,1,
ASIA,2017/06,2,1
ASIA,2017/07,5,
ASIA,2017/08,7,5
ASIA,2017/09,1,1
ASIA,2017/10,17,9
ASIA,2017/11,40,31
ASIA,2017/12,173,140
ASIA,2018/01,763,558
ASIA,2018/02,32,7
ASIA,2018/03,1,
ASIA,2018/04,2,
Australia,2017/10,3,
Australia,2017/11,3,3
Australia,2017/12,13,13
Australia,2018/01,43,39
Australia,2018/02,2,2
EMEA,2016/10,1,
EMEA,2017/03,1,1
EMEA,2017/04,2,1
EMEA,2017/05,2,2
EMEA,2017/06,2,2
EMEA,2017/07,13,10
EMEA,2017/08,15,14
EMEA,2017/09,16,13
EMEA,2017/10,41,37
EMEA,2017/11,90,74
EMEA,2017/12,264,234
EMEA,2018/01,1490,1266
EMEA,2018/02,1377,1193
EMEA,2018/03,1634,1267
EMEA,2018/04,1613,1352
EMEA,2018/05,1721,1403
EMEA,2018/06,1475,1189
EMEA,2018/07,1716,1445
EMEA,2018/08,1321,1045
MX,2017/07,1,1
MX,2017/11,9,9
MX,2017/12,4,2
MX,2018/01,12,11
MX,2018/02,22,17
MX,2018/03,2,2
MX,2018/04,13,13
MX,2018/05,13,12
MX,2018/06,22,22
MX,2018/07,13,12
MX,2018/08,11,11
Other,2017/03,1,
Other,2017/04,1,
Other,2017/05,3,3
Other,2017/06,1,1
Other,2017/07,5,3
Other,2017/08,9,7
Other,2017/09,1,1
Other,2017/10,22,17
Other,2017/11,48,31
Other,2017/12,195,125
Other,2018/01,1201,559
Other,2018/02,1312,590
Other,2018/03,1813,650
Other,2018/04,2262,631
Other,2018/05,2322,721
Other,2018/06,2213,673
Other,2018/07,2336,603
Other,2018/08,2510,442
