clientRegion,createdTimeUTC,totalTickets,completedTickets
AMER,2018/01,1721,1271.0
AMER,2018/02,1371,1171.0
AMER,2018/03,1623,1419.0
AMER,2018/04,1699,1491.0
AMER,2018/05,1699,1475.0
AMER,2018/06,1544,1367.0
AMER,2018/07,1514,1351.0
AMER,2018/08,1501,1316.0
AMRS,2018/01,1585,1260.0
AMRS,2018/02,1210,1008.0
AMRS,2018/03,1898,1235.0
AMRS,2018/04,1936,1272.0
AMRS,2018/05,1395,1179.0
AMRS,2018/06,1456,1265.0
AMRS,2018/07,1428,1187.0
AMRS,2018/08,1361,1139.0
APAC,2018/01,404,372.0
APAC,2018/02,1219,984.0
APAC,2018/03,1537,1206.0
APAC,2018/04,1593,1315.0
APAC,2018/05,1637,1309.0
APAC,2018/06,1561,1249.0
APAC,2018/07,1591,1292.0
APAC,2018/08,1673,1411.0
ASIA,2018/01,768,558.0
ASIA,2018/02,32,7.0
ASIA,2018/03,1,
ASIA,2018/04,2,
Australia,2018/01,44,39.0
Australia,2018/02,2,2.0
EMEA,2018/01,1503,1267.0
EMEA,2018/02,1387,1193.0
EMEA,2018/03,1669,1277.0
EMEA,2018/04,1643,1362.0
EMEA,2018/05,1763,1425.0
EMEA,2018/06,1535,1230.0
EMEA,2018/07,1825,1529.0
EMEA,2018/08,1760,1408.0
MX,2018/01,12,11.0
MX,2018/02,22,17.0
MX,2018/03,2,2.0
MX,2018/04,14,14.0
MX,2018/05,15,14.0
MX,2018/06,22,22.0
MX,2018/07,13,12.0
MX,2018/08,13,13.0
Other,2018/01,1208,561.0
Other,2018/02,1317,591.0
Other,2018/03,1819,650.0
Other,2018/04,2271,632.0
Other,2018/05,2336,724.0
Other,2018/06,2231,681.0
Other,2018/07,2378,632.0
Other,2018/08,2686,566.0
